36F;AF80;370;AF80;36F;FF80;000;FF80;FF80;1000
370;0740;371;0740;370;0740;000;0370;FF7F;1001
371;0680;372;0680;371;0680;000;0371;7FFF;0001
372;EEFB;373;EEFB;36E;7FFF;000;FFFB;7FFF;0001;36E;7FFF
373;AF05;374;AF05;373;0005;000;0005;0005;0001
374;EEF8;375;EEF8;36D;0005;000;FFF8;0005;0001;36D;0005
375;AEF5;376;AEF5;36B;0384;000;FFF5;0384;0001
376;EEF5;377;EEF5;36C;0384;000;FFF5;0384;0001;36C;0384
377;AAF4;378;AAF4;384;F700;000;FFF4;F700;1001;36C;0385
378;0480;379;0480;378;0480;000;0378;FB80;1010
379;F407;37A;F407;379;F407;000;0379;FB80;1010
37A;0480;37B;0480;37A;0480;000;037A;7DC0;0000
37B;F405;37C;F405;37B;F405;000;037B;7DC0;0000
37C;0400;37D;0400;37C;0400;000;037C;FB80;1010
37D;0400;37E;0400;37D;0400;000;037D;F700;1001
37E;7EEF;37F;7EEF;36E;7FFF;000;FFEF;F700;0011
37F;F901;380;F901;37F;F901;000;037F;F700;0011
380;EEED;381;EEED;36E;F700;000;FFED;F700;0011;36E;F700
381;836D;382;836D;36D;0004;000;0003;F700;0011;36D;0004
382;CEF4;377;CEF4;382;0377;000;FFF4;F700;0011
