3F8;0200;3F9;0200;3F8;0200;000;03F8;0000;0100
3F9;EE19;3FA;EE19;413;0000;000;0019;0000;0100;413;0000
3FA;AE16;3FB;AE16;411;0002;000;0016;0002;0000
3FB;0C00;3FC;0C00;7FF;0002;7FF;03FB;0002;0000;7FF;0002
3FC;D700;700;D700;7FE;03FD;7FE;D700;0002;0000;7FE;03FD
700;AC01;701;AC01;7FF;0002;7FE;0001;0002;0000
701;F001;702;F001;701;F001;7FE;0701;0002;0000
702;F304;707;F304;702;F304;7FE;0004;0002;0000
707;0500;708;0500;707;0002;7FE;0707;0004;0000
708;0500;709;0500;708;0004;7FE;0708;0008;0000
709;4C01;70A;4C01;7FF;0002;7FE;0001;000A;0000
70A;4E05;70B;4E05;710;00F7;7FE;0005;0101;0000
70B;CE01;70D;CE01;70B;070D;7FE;0001;0101;0000
70D;EC01;70E;EC01;7FF;0101;7FE;0001;0101;0000;7FF;0101
70E;0A00;3FD;0A00;7FE;03FD;7FF;070E;0101;0000
3FD;0800;3FE;0800;7FF;0101;000;03FD;0101;0000
3FE;0740;3FF;0740;3FE;0740;000;03FE;0100;0001
3FF;6E13;400;6E13;413;0000;000;0013;0100;0001
400;EE12;401;EE12;413;0100;000;0012;0100;0001;413;0100
401;AE0E;402;AE0E;410;0001;000;000E;0001;0001
402;0740;403;0740;402;0740;000;0402;0000;0101
403;0C00;404;0C00;7FF;0000;7FF;0403;0000;0101;7FF;0000
404;D700;700;D700;7FE;0405;7FE;D700;0000;0101;7FE;0405
700;AC01;701;AC01;7FF;0000;7FE;0001;0000;0101
701;F001;703;F001;701;F001;7FE;0001;0000;0101
703;6E0B;704;6E0B;70F;F5F4;7FE;000B;0A0C;0000
704;F201;705;F201;704;F201;7FE;0704;0A0C;0000
705;CE06;70C;CE06;705;070C;7FE;0006;0A0C;0000
70C;AE02;70D;AE02;70F;F5F4;7FE;0002;F5F4;1000
70D;EC01;70E;EC01;7FF;F5F4;7FE;0001;F5F4;1000;7FF;F5F4
70E;0A00;405;0A00;7FE;0405;7FF;070E;F5F4;1000
405;0800;406;0800;7FF;F5F4;000;0405;F5F4;1000
406;0700;407;0700;406;0700;000;0406;F5F5;1000
407;4E0B;408;4E0B;413;0100;000;000B;F6F5;1000
408;EE0A;409;EE0A;413;F6F5;000;000A;F6F5;1000;413;F6F5
409;AE08;40A;AE08;412;0003;000;0008;0003;0000
40A;0C00;40B;0C00;7FF;0003;7FF;040A;0003;0000;7FF;0003
40B;D700;700;D700;7FE;040C;7FE;D700;0003;0000;7FE;040C
700;AC01;701;AC01;7FF;0003;7FE;0001;0003;0000
701;F001;702;F001;701;F001;7FE;0701;0003;0000
702;F304;707;F304;702;F304;7FE;0004;0003;0000
707;0500;708;0500;707;0003;7FE;0707;0006;0000
708;0500;709;0500;708;0006;7FE;0708;000C;0000
709;4C01;70A;4C01;7FF;0003;7FE;0001;000F;0000
70A;4E05;70B;4E05;710;00F7;7FE;0005;0106;0000
70B;CE01;70D;CE01;70B;070D;7FE;0001;0106;0000
70D;EC01;70E;EC01;7FF;0106;7FE;0001;0106;0000;7FF;0106
70E;0A00;40C;0A00;7FE;040C;7FF;070E;0106;0000
40C;0800;40D;0800;7FF;0106;000;040C;0106;0000
40D;4E05;40E;4E05;413;F6F5;000;0005;F7FB;1000
40E;EE04;40F;EE04;413;F7FB;000;0004;F7FB;1000;413;F7FB
40F;0100;410;0100;40F;0100;000;040F;F7FB;1000
